Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
194,Fresno State,MWC,,,12,21,67.7,73.9,-6.24,,3.96,,-3.18,0.36,-2.82,103.28,107.73,-4.45
195,Bryant,AEC,,,20,13,78.7,75.4,3.33,,-3.35,,1.91,-4.77,-2.86,97.94,101.88,-3.94
196,Cleveland State,Horizon,,,20,14,76.2,72.9,3.29,,-4.46,,0.1,-3.01,-2.91,105.28,109.42,-4.14
197,Rice,AAC,,,11,21,72,75.7,-3.66,,2.28,,-1.3,-1.62,-2.92,105.14,109.24,-4.1
198,East Tennessee State,Southern,,,19,16,71.5,69.6,1.91,,-2.57,,-4.11,1.17,-2.93,100.82,104.87,-4.05
199,Little Rock,OVC,,,21,12,77.4,72.2,5.18,,-8.14,,1.4,-4.35,-2.95,105.17,108.81,-3.64
200,Monmouth,CAA,,,18,15,72.4,72.6,-0.18,,-2.81,,-1.35,-1.64,-3,103.81,108.27,-4.47
201,Pennsylvania,Ivy,,,11,18,74.4,74.4,0.07,,0.53,,-0.08,-2.99,-3.07,106.63,111.18,-4.56
202,Jacksonville State,CUSA,,,14,18,70,66.4,3.56,,-2.88,,-7.03,3.73,-3.3,100.18,104.52,-4.34
203,San Jose State,MWC,,,9,23,69.6,75.1,-5.47,,3.74,,-2.4,-0.95,-3.35,104.41,109.69,-5.27
204,Evansville,MVC,,,16,17,71.5,73.6,-2.06,,0.93,,-1.61,-1.78,-3.39,101.39,106.14,-4.75
205,Northern Kentucky,Horizon,,,18,15,74.8,73.2,1.64,,-3.46,,-1.69,-1.71,-3.39,101.04,106.04,-5
206,Texas State,Sun Belt,,,17,18,69.9,70.1,-0.2,,-0.42,,-6.2,2.81,-3.39,97.91,102.51,-4.6
207,Brown,Ivy,,,13,17,71.7,72.2,-0.47,,-1.71,,-1.8,-1.81,-3.61,102.15,107.48,-5.34
208,Texas A&M-Corpus Christi,Southland,,,21,11,75.5,66.5,9.06,,-6.91,,-4.34,0.68,-3.66,98.34,102.36,-4.02
209,Wofford,Southern,,,17,15,74.5,73.8,0.69,,-1.43,,-1.14,-2.57,-3.71,106.21,111.6,-5.39
210,Abilene Christian,WAC,,,15,17,72.5,73.5,-0.97,,-1.17,,-2.35,-1.47,-3.81,100.29,105.34,-5.05
211,UC Riverside,Big West,,,16,18,70.7,72,-1.29,,-0.9,,-2.8,-1.13,-3.93,101.99,107.63,-5.65
212,Northern Colorado,Big Sky,,,19,13,80.3,77.8,2.41,,-4.89,,5.4,-9.39,-3.99,107.05,112.4,-5.35
213,Saint Peter's,MAAC,,,19,13,65.3,63.4,1.91,,-6,,-10.11,5.99,-4.12,96.13,101.73,-5.6
214,Georgia State,Sun Belt,,,14,17,76.5,74.8,1.65,,-2.26,,-0.55,-3.71,-4.26,103.34,109.34,-6
215,Air Force,MWC,,,9,22,66.2,72.4,-6.19,,1.87,,-6.47,2.15,-4.33,104.95,112.75,-7.81
216,Harvard,Ivy,,,14,13,70.4,71.7,-1.37,,-1.85,,-3.2,-1.15,-4.35,99.99,106.08,-6.09
217,Gardner-Webb,Big South,,,17,16,73.5,73.2,0.36,,-1.47,,-1.62,-2.78,-4.4,99.9,105.62,-5.72
218,Cal State Northridge,Big West,,,19,15,75,73.6,1.41,,-3.79,,0.27,-4.71,-4.44,97.84,104.21,-6.38
219,Mercer,Southern,,,16,17,71.2,71.8,-0.7,,-2.4,,-4.49,-0.01,-4.5,101.12,107.74,-6.62
220,Stetson,A-Sun,,,22,12,77.5,72.8,4.71,,-3.86,,-0.32,-4.19,-4.51,108.14,114.69,-6.55
